Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_4096_1900_2048,Gemm_Hipblaslt_TN_9590,0.063563
GemmTunableOp_Half_TN,tn_14336_877_4096,Gemm_Hipblaslt_TN_9677,0.180309
GemmTunableOp_Half_TN,tn_3072_881_4096,Gemm_Hipblaslt_TN_9131,0.0573261
GemmTunableOp_Half_TN,tn_14336_844_4096,Gemm_Hipblaslt_TN_9139,0.178341
GemmTunableOp_Half_TN,tn_14336_851_4096,Gemm_Hipblaslt_TN_9697,0.178702
GemmTunableOp_Half_TN,tn_3072_2635_4096,Gemm_Hipblaslt_TN_9134,0.122699
GemmTunableOp_Half_TN,tn_64128_80_4096,Gemm_Hipblaslt_TN_9058,0.180755
GemmTunableOp_Half_TN,tn_14336_7804_4096,Gemm_Hipblaslt_TN_9888,1.48956
GemmTunableOp_Half_TN,tn_64128_178_4096,Gemm_Hipblaslt_TN_9707,0.246175
GemmTunableOp_Half_TN,tn_14336_854_4096,Gemm_Hipblaslt_TN_9187,0.17897
GemmTunableOp_Half_TN,tn_4096_1881_7168,Gemm_Hipblaslt_TN_9134,0.206873
GemmTunableOp_Half_TN,tn_3072_851_4096,Gemm_Hipblaslt_TN_9368,0.0522063
GemmTunableOp_Half_TN,tn_4096_832_7168,Gemm_Hipblaslt_TN_9352,0.111297
GemmTunableOp_Half_TN,tn_3072_863_4096,Gemm_Hipblaslt_TN_9047,0.0557951
GemmTunableOp_Half_TN,tn_4096_951_7168,Gemm_Hipblaslt_TN_9604,0.119367
GemmTunableOp_Half_TN,tn_4096_861_7168,Gemm_Hipblaslt_TN_9604,0.112601
GemmTunableOp_Half_TN,tn_4096_3546_2048,Gemm_Hipblaslt_TN_9896,0.101071
GemmTunableOp_Half_TN,tn_3072_829_4096,Gemm_Hipblaslt_TN_9047,0.0525535
GemmTunableOp_Half_TN,tn_3072_916_4096,Gemm_Hipblaslt_TN_9352,0.0579191
GemmTunableOp_Half_TN,tn_4096_861_2048,Gemm_Hipblaslt_TN_9576,0.0362847
GemmTunableOp_Half_TN,tn_4096_808_2048,Gemm_Hipblaslt_TN_9604,0.033656
GemmTunableOp_Half_TN,tn_4096_2592_2048,Gemm_Hipblaslt_TN_9672,0.0836897
GemmTunableOp_Half_TN,tn_3072_7283_4096,Gemm_Hipblaslt_TN_9681,0.309262
GemmTunableOp_Half_TN,tn_4096_1614_7168,Gemm_Hipblaslt_TN_9359,0.180717
GemmTunableOp_Half_TN,tn_4096_1614_2048,Gemm_Hipblaslt_TN_9164,0.0566416
GemmTunableOp_Half_TN,tn_4096_7299_7168,Gemm_Hipblaslt_TN_9914,0.703303
GemmTunableOp_Half_TN,tn_4096_1705_2048,Gemm_Hipblaslt_TN_9164,0.0572555
GemmTunableOp_Half_TN,tn_14336_1897_4096,Gemm_Hipblaslt_TN_9697,0.371847
GemmTunableOp_Half_TN,tn_4096_1729_7168,Gemm_Hipblaslt_TN_9673,0.194659
GemmTunableOp_Half_TN,tn_3072_1729_4096,Gemm_Hipblaslt_TN_9322,0.0890354
GemmTunableOp_Half_TN,tn_4096_914_7168,Gemm_Hipblaslt_TN_9634,0.118557
GemmTunableOp_Half_TN,tn_4096_1831_2048,Gemm_Hipblaslt_TN_9590,0.0631775
GemmTunableOp_Half_TN,tn_64128_52_4096,Gemm_Hipblaslt_TN_9097,0.166767
