Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_4096_1608_14336,Gemm_Hipblaslt_TN_9265,0.360034
GemmTunableOp_Half_TN,tn_4096_1804_4096,Gemm_Hipblaslt_TN_9645,0.11915
GemmTunableOp_Half_TN,tn_28672_3401_4096,Gemm_Hipblaslt_TN_9827,1.36299
GemmTunableOp_Half_TN,tn_4096_1799_14336,Gemm_Hipblaslt_TN_9645,0.409725
GemmTunableOp_Half_TN,tn_28672_1889_4096,Gemm_Hipblaslt_TN_9684,0.812043
GemmTunableOp_Half_TN,tn_4096_1702_4096,Gemm_Hipblaslt_TN_9607,0.108581
GemmTunableOp_Half_TN,tn_4096_3688_14336,Gemm_Hipblaslt_TN_9827,0.719858
GemmTunableOp_Half_TN,tn_4096_1789_4096,Gemm_Hipblaslt_TN_9134,0.117036
GemmTunableOp_Half_TN,tn_4096_1708_4096,Gemm_Hipblaslt_TN_9616,0.105262
GemmTunableOp_Half_TN,tn_4096_3630_14336,Gemm_Hipblaslt_TN_9743,0.697665
GemmTunableOp_Half_TN,tn_28672_1771_4096,Gemm_Hipblaslt_TN_9223,0.742458
GemmTunableOp_Half_TN,tn_4096_3573_14336,Gemm_Hipblaslt_TN_9743,0.689676
GemmTunableOp_Half_TN,tn_4096_1794_14336,Gemm_Hipblaslt_TN_9645,0.407493
GemmTunableOp_Half_TN,tn_6144_1863_4096,Gemm_Hipblaslt_TN_9799,0.164596
GemmTunableOp_Half_TN,tn_28672_1805_4096,Gemm_Hipblaslt_TN_9684,0.805032
GemmTunableOp_Half_TN,tn_4096_5447_14336,Gemm_Hipblaslt_TN_9799,1.15527
GemmTunableOp_Half_TN,tn_4096_3710_14336,Gemm_Hipblaslt_TN_9827,0.722053
GemmTunableOp_Half_TN,tn_4096_1874_4096,Gemm_Hipblaslt_TN_9645,0.121079
GemmTunableOp_Half_TN,tn_4096_1873_4096,Gemm_Hipblaslt_TN_9645,0.120455
GemmTunableOp_Half_TN,tn_6144_7093_4096,Gemm_Hipblaslt_TN_9677,0.597318
GemmTunableOp_Half_TN,tn_28672_7130_4096,Gemm_Hipblaslt_TN_9893,2.92638
