Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_28672_6979_4096,Gemm_Hipblaslt_TN_9958,2.88015
GemmTunableOp_Half_TN,tn_6144_5447_4096,Gemm_Rocblas_621294330,0.459281
GemmTunableOp_Half_TN,tn_4096_1688_4096,Gemm_Hipblaslt_TN_9569,0.106932
GemmTunableOp_Half_TN,tn_6144_1958_4096,Gemm_Hipblaslt_TN_9697,0.178077
GemmTunableOp_Half_TN,tn_4096_5089_14336,Gemm_Hipblaslt_TN_9799,1.06303
GemmTunableOp_Half_TN,tn_128256_218_4096,Gemm_Hipblaslt_TN_9937,0.581522
GemmTunableOp_Half_TN,tn_6144_1683_4096,Gemm_Hipblaslt_TN_9570,0.15508
GemmTunableOp_Half_TN,tn_28672_3688_4096,Gemm_Hipblaslt_TN_9827,1.50888
GemmTunableOp_Half_TN,tn_4096_1853_14336,Gemm_Hipblaslt_TN_9645,0.413442
GemmTunableOp_Half_TN,tn_4096_1967_4096,Gemm_Hipblaslt_TN_9645,0.124575
GemmTunableOp_Half_TN,tn_28672_232_4096,Gemm_Rocblas_621286584,0.121247
GemmTunableOp_Half_TN,tn_4096_5605_4096,Gemm_Rocblas_621294315,0.339375
GemmTunableOp_Half_TN,tn_4096_1794_14336,Gemm_Hipblaslt_TN_9137,0.41065
GemmTunableOp_Half_TN,tn_28672_3564_4096,Gemm_Hipblaslt_TN_9827,1.3883
GemmTunableOp_Half_TN,tn_28672_7439_4096,Gemm_Hipblaslt_TN_159,2.92964
GemmTunableOp_Half_TN,tn_28672_3710_4096,Gemm_Hipblaslt_TN_9827,1.51281
GemmTunableOp_Half_TN,tn_28672_1704_4096,Gemm_Rocblas_621294484,0.727573
GemmTunableOp_Half_TN,tn_6144_48_4096,Gemm_Rocblas_621286428,0.0154126
GemmTunableOp_Half_TN,tn_4096_3553_4096,Gemm_Hipblaslt_TN_9743,0.200659
GemmTunableOp_Half_TN,tn_28672_1801_4096,Gemm_Hipblaslt_TN_9683,0.779835
GemmTunableOp_Half_TN,tn_28672_256_4096,Gemm_Rocblas_621294324,0.1217
GemmTunableOp_Half_TN,tn_28672_1874_4096,Gemm_Hipblaslt_TN_9684,0.805546
GemmTunableOp_Half_TN,tn_28672_1888_4096,Gemm_Hipblaslt_TN_9683,0.79559
GemmTunableOp_Half_TN,tn_4096_1888_4096,Gemm_Hipblaslt_TN_9645,0.122488
GemmTunableOp_Half_TN,tn_28672_1810_4096,Gemm_Hipblaslt_TN_9684,0.793983
GemmTunableOp_Half_TN,tn_28672_5447_4096,Gemm_Hipblaslt_TN_9865,2.30134
GemmTunableOp_Half_TN,tn_128256_215_4096,Gemm_Hipblaslt_TN_9847,0.574092
GemmTunableOp_Half_TN,tn_28672_5125_4096,Gemm_Rocblas_621286742,2.16432
GemmTunableOp_Half_TN,tn_28672_3466_4096,Gemm_Hipblaslt_TN_9827,1.37036
GemmTunableOp_Half_TN,tn_4096_1685_14336,Gemm_Hipblaslt_TN_9679,0.368786
GemmTunableOp_Half_TN,tn_28672_1946_4096,Gemm_Hipblaslt_TN_9846,0.839554
GemmTunableOp_Half_TN,tn_6144_1804_4096,Gemm_Hipblaslt_TN_9799,0.162778
GemmTunableOp_Half_TN,tn_4096_1779_14336,Gemm_Hipblaslt_TN_9645,0.396157
GemmTunableOp_Half_TN,tn_4096_1887_4096,Gemm_Hipblaslt_TN_9645,0.12258
GemmTunableOp_Half_TN,tn_4096_1637_4096,Gemm_Hipblaslt_TN_9671,0.104992
GemmTunableOp_Half_TN,tn_6144_1637_4096,Gemm_Hipblaslt_TN_9570,0.155099
GemmTunableOp_Half_TN,tn_28672_1713_4096,Gemm_Hipblaslt_TN_9217,0.731765
GemmTunableOp_Half_TN,tn_4096_72_14336,Gemm_Hipblaslt_TN_7511,0.038286
GemmTunableOp_Half_TN,tn_4096_1850_14336,Gemm_Hipblaslt_TN_9137,0.412905
GemmTunableOp_Half_TN,tn_8192_2366_8192,Gemm_Hipblaslt_TN_9651,0.558109
GemmTunableOp_Half_TN,tn_4096_192_14336,Gemm_Hipblaslt_TN_7585,0.062339
GemmTunableOp_Half_TN,tn_4096_40_4096,Gemm_Rocblas_621294155,0.0126589
GemmTunableOp_Half_TN,tn_6144_7182_4096,Gemm_Hipblaslt_TN_9743,0.604367
GemmTunableOp_Half_TN,tn_6144_5100_4096,Gemm_Hipblaslt_TN_9815,0.434983
