Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_3072_1731_4096,Gemm_Hipblaslt_TN_9322,0.0908362
GemmTunableOp_Half_TN,tn_4096_6979_7168,Gemm_Hipblaslt_TN_9694,0.67599
GemmTunableOp_Half_TN,tn_4096_5089_2048,Gemm_Hipblaslt_TN_9689,0.166622
GemmTunableOp_Half_TN,tn_64128_122_4096,Gemm_Hipblaslt_TN_9698,0.202112
GemmTunableOp_Half_TN,tn_64128_35_4096,Gemm_Hipblaslt_TN_9097,0.158765
GemmTunableOp_Half_TN,tn_4096_1853_7168,Gemm_Hipblaslt_TN_9136,0.2062
GemmTunableOp_Half_TN,tn_4096_1771_2048,Gemm_Hipblaslt_TN_9136,0.0629878
GemmTunableOp_Half_TN,tn_64128_169_4096,Gemm_Hipblaslt_TN_9862,0.246809
GemmTunableOp_Half_TN,tn_14336_1790_4096,Gemm_Hipblaslt_TN_9697,0.367497
GemmTunableOp_Half_TN,tn_3072_1673_4096,Gemm_Hipblaslt_TN_9561,0.088693
GemmTunableOp_Half_TN,tn_3072_1615_4096,Gemm_Rocblas_621286778,0.0880922
GemmTunableOp_Half_TN,tn_3072_1794_4096,Gemm_Hipblaslt_TN_9322,0.092612
GemmTunableOp_Half_TN,tn_4096_3586_7168,Gemm_Hipblaslt_TN_9692,0.346543
GemmTunableOp_Half_TN,tn_4096_3710_7168,Gemm_Hipblaslt_TN_9768,0.361812
GemmTunableOp_Half_TN,tn_3072_3581_4096,Gemm_Hipblaslt_TN_9774,0.158426
GemmTunableOp_Half_TN,tn_14336_1794_4096,Gemm_Hipblaslt_TN_9697,0.371585
GemmTunableOp_Half_TN,tn_4096_6997_2048,Gemm_Hipblaslt_TN_9692,0.206983
GemmTunableOp_Half_TN,tn_4096_3214_2048,Gemm_Hipblaslt_TN_9684,0.0989628
GemmTunableOp_Half_TN,tn_4096_7196_7168,Gemm_Hipblaslt_TN_9694,0.691022
GemmTunableOp_Half_TN,tn_4096_3768_2048,Gemm_Hipblaslt_TN_9827,0.112605
GemmTunableOp_Half_TN,tn_14336_3645_4096,Gemm_Hipblaslt_TN_9697,0.733851
GemmTunableOp_Half_TN,tn_4096_3645_2048,Gemm_Hipblaslt_TN_9683,0.106525
GemmTunableOp_Half_TN,tn_4096_7730_7168,Gemm_Hipblaslt_TN_9704,0.733997
GemmTunableOp_Half_TN,tn_4096_5125_2048,Gemm_Hipblaslt_TN_9790,0.168053
GemmTunableOp_Half_TN,tn_4096_1931_7168,Gemm_Hipblaslt_TN_9645,0.210858
GemmTunableOp_Half_TN,tn_3072_1813_4096,Gemm_Hipblaslt_TN_9615,0.093247
GemmTunableOp_Half_TN,tn_3072_1608_4096,Gemm_Rocblas_621294520,0.0880909
GemmTunableOp_Half_TN,tn_4096_7579_7168,Gemm_Hipblaslt_TN_9869,0.730321
GemmTunableOp_Half_TN,tn_3072_1946_4096,Gemm_Hipblaslt_TN_9633,0.0985206
GemmTunableOp_Half_TN,tn_4096_1691_7168,Gemm_Hipblaslt_TN_9265,0.186558
GemmTunableOp_Half_TN,tn_4096_160_7168,Gemm_Rocblas_621286440,0.0365094
GemmTunableOp_Half_TN,tn_4096_1637_7168,Gemm_Hipblaslt_TN_9265,0.183371
GemmTunableOp_Half_TN,tn_14336_5223_4096,Gemm_Hipblaslt_TN_9933,1.04671
GemmTunableOp_Half_TN,tn_4096_3651_7168,Gemm_Hipblaslt_TN_9827,0.360142
GemmTunableOp_Half_TN,tn_14336_3300_4096,Gemm_Rocblas_621286678,0.637414
GemmTunableOp_Half_TN,tn_4096_7027_7168,Gemm_Hipblaslt_TN_9743,0.679812
